"","text"
"Mach_108.txt.content"," XV: The things for which men, and especially rulers, are praised or blamed  It remains now to consider in what ways a ruler should act with regard to his subjects and allies. And since I am well aware that many people have written about this subject I fear that I may be thought presumptuous, for what I have to say differs from the precepts offered by others, especially on this matter. But because I want to write what will be useful to anyone who understands, it seems to me better to concentrate on what really happens rather than on theories or speculations. For many have imagined republics and principalities that have never been seen or known to exist. However, how men live is so different from how they should live that a ruler who does not do what is generally done, but persists in doing what ought to be done, will undermine his power rather than maintain it. If a ruler who wants always to act honourably is surrounded by many unscrupulous men his downfall is inevitable. Therefore, a ruler who wishes to maintain his power must be prepared to act immorally when this becomes necessary. "
"Mach_109.txt.content"," I shall set aside fantasies about rulers, then, and consider what happens in fact. I say that whenever men are discussed, and especially rulers (because they occupy more exalted positions), they are praised or blamed for possessing some of the following qualities. Thus, one man is considered generous, another miserly (I use this Tuscan term because avaro in our tongue also signifies someone who is rapacious, whereas we call misero someone who is very reluctant to use his own possessions); one is considered a free giver, another rapacious; one cruel, another merciful; one treacherous, another loyal; one effeminate and weak, another indomitable and spirited; one affable, another haughty; one lascivious, another moderate; one upright, another cunning; one inflexible, another easy-going; one serious, another frivolous; one devout, another unbelieving, and so on.  I know that everyone will acknowledge that it would be most praiseworthy for a ruler to have all the above-mentioned qualities that are "
"Mach_11.txt.content","have more reason to be devoted to him if they intend to behave well, and to fear him if they do not. Any foreigners with designs on that state will proceed very carefully. Hence, if the state is ruled directly, it is very unlikely indeed to be lost.  The other very good solution is to establish colonies in a few places, which become, as it were, fetters for the conquered territory. If this is not done, it will be necessary to hold it by means of large military forces. Colonies involve little expense; and so at little or no cost, one establishes and maintains them. The only people injured are those who lose their fields and homes, which are given to the new settlers; but only a few inhabitants are affected in this way. Moreover, those whom he injures can never harm him, because they are poor and scattered. All the other inhabitants remain unharmed, and should "
"Mach_110.txt.content","held to be good. But because it is not possible to have all of them, and because circumstances do not permit living a completely virtuous life, one must be sufficiently prudent to know how to avoid becoming notorious for those vices that would destroy one's power and seek to avoid those vices that are not politically dangerous; but if one cannot bring oneself to do this, they can be indulged in with fewer misgivings. Yet one should not be troubled about becoming notorious for those vices without which it is difficult to preserve one's power, because if one considers everything carefully, doing some things that seem virtuous may result in one's ruin, whereas doing other things that seem vicious may strengthen one's position and cause one to flourish.  XVI: Generosity and meanness  To begin, then, with the first of the above-mentioned qualities, I maintain that it would be desirable to be considered generous; nevertheless, if generosity is practised in such a way that you will be "
"Mach_111.txt.content","considered generous, it will harm you. If it is practised virtuously, and as it should be, it will not be known about, and you will not avoid acquiring a bad reputation for the opposite vice. Therefore, if one wants to keep up a reputation for being generous, one must spend lavishly and ostentatiously. The inevitable outcome of acting in such ways is that the ruler will consume all his resources in sumptuous display; and if he wants to continue to be thought generous, he will eventually be compelled to become rapacious, to tax the people very heavily, and raise money by all possible means. Thus, he will begin to be hated by his subjects and, because he is impoverished, he will be held in little regard. Since this generosity of his has harmed many people and benefited few, he will feel the effects of any discontent, and the first real threat to his power will involve him in grave difficulties. When he realises this, and changes his ways, he will very soon acquire a bad reputation for being miserly. "
"Mach_112.txt.content"," Therefore, since a ruler cannot both practise this virtue of generosity and be known to do so without harming himself, he would do well not to worry about being called miserly. For eventually he will come to be considered more generous, when it is realised that, because of his parsimony, his revenues are sufficient to defend himself against any enemies that attack him, and to undertake campaigns without imposing special taxes on the people. Thus he will be acting generously towards the vast majority, whose property he does not touch, and will be acting meanly towards the few to whom he gives nothing.  Those rulers who have achieved great things in our own times have all been considered mean; all the others have failed. Although Pope Julius II cultivated a reputation for generosity in order to become pope, he did not seek to maintain it afterwards, because he wanted to be "
"Mach_113.txt.content","able to wage war. The present King of France has fought many wars without imposing any special taxes on his subjects, because his parsimonious habits have always enabled him to meet the extra expenses. If the present King of Spain had a reputation for generosity, he would not have successfully undertaken so many campaigns.  Therefore, a ruler should worry little about being thought miserly: he will not have to rob his subjects; he will be able to defend himself; he will avoid being poor and despised and will not be forced to become rapacious. For meanness is one of those vices that enable him to rule. It may be objected that Caesar obtained power through his open-handedness, and that many others have risen to very high office because they were open-handed and were considered to be so. I would reply that either you are already an established ruler or you are trying to become a ruler. In the first case, open-handedness is harmful; in the second, it is certainly necessary to be thought open-handed. Caesar was one of "
"Mach_114.txt.content","those who sought power in Rome; but if after gaining power he had survived, and had not moderated his expenditure, he would have undermined his power. And if it should be objected that many rulers who have been considered very generous have had remarkable military successes, I would reply: a ruler spends either what belongs to him or his subjects, or what belongs to others. In the former case, he should be parsimonious; in the latter, he should be as open-handed as possible. A ruler who accompanies his army, supporting it by looting, sacking and extortions, disposes of what belongs to others; he must be openhanded, for if he is not, his soldiers will desert. You can be much more generous with what does not belong to you or to your subjects, as Cyrus, Caesar and Alexander were. This is because giving away what belongs to others in no way damages your reputation; rather, it enhances "
"Mach_115.txt.content","it. It is only giving away what belongs to yourself that harms you.  There is nothing that is so self-consuming as generosity: the more you practise it, the less you will be able to continue to practise it. You will either become poor and despised or your efforts to avoid poverty will make you rapacious and hated. A ruler must above all guard against being despised and hated; and being generous will lead to both. Therefore, it is shrewder to cultivate a reputation for meanness, which will lead to notoriety but not to hatred. This is better than being forced, through wanting to be considered generous, to incur a reputation for rapacity, which will lead to notoriety and to hatred as well.  XVII: Cruelty and mercifulness; and whether it is better to be loved or feared  Turning to the other previously mentioned qualities, I maintain that every ruler should want to be thought merciful, not cruel; nevertheless, "
"Mach_116.txt.content","one should take care not to be merciful in an inappropriate way. Cesare Borgia was considered cruel, yet his harsh measures restored order to the Romagna, unifying it and rendering it peaceful and loyal. If his conduct is properly considered, he will be judged to have been much more merciful than the Florentine people, who let Pistoia be torn apart, in order to avoid acquiring a reputation for cruelty. Therefore, if a ruler can keep his subjects united and loyal, he should not worry about incurring a reputation for cruelty; for by punishing a very few he will really be more merciful than those who over-indulgently permit disorders to develop, with resultant killings and plunderings. For the latter usually harm a whole community, whereas the executions ordered by a ruler harm only specific individuals. And a new ruler, in particular, cannot avoid being considered harsh, since new states are full of "
"Mach_117.txt.content","dangers. Virgil makes Dido say: Res dura, et regni novitas me talia cogunt moliri, et late fines custode tueri.  Nevertheless, he should be slow to believe accusations and to act against individuals, and should not be afraid of his own shadow. He should act with due prudence and humanity so that being over-confident will not make him incautious, and being too suspicious will not render him insupportable.  A controversy has arisen about this: whether it is better to be loved than feared, or vice versa. My view is that it is desirable to be both loved and feared; but it is difficult to achieve both and, if one of them has to be lacking, it is much safer to be feared than loved.  For this may be said of men generally: they are ungrateful, fickle, feigners and dissemblers, a voiders of danger, eager for gain. While you "
"Mach_118.txt.content","benefit them they are all devoted to you: they would shed their blood for you; they offer their possessions, their lives, and their sons, as I said before, when the need to do so is far off. But when you are hard pressed, they turn away. A ruler who has relied completely on their promises, and has neglected to prepare other defences, will be ruined, because friendships that are acquired with money, and not through greatness and nobility of character, are paid for but not secured, and prove unreliable just when they are needed.  Men are less hesitant about offending or harming a ruler who makes himself loved than one who inspires fear. For love is sustained by a bond of gratitude which, because men are excessively self-interested, is broken whenever they see a chance to benefit themselves. But fear is sustained by a dread of punishment that is always effective. Nevertheless, a ruler must make himself feared in such a way that, even if he does not become loved, he does not become hated. For it is perfectly possible to be feared without incurring hatred. And this can always be achieved if he refrains from laying hands on the property of his citizens and subjects, and on their womenfolk. If it is necessary to execute anyone, this should be done only if there is a proper justification and obvious reason. But, above all, he must not touch the property of others, because men forget sooner the killing of a father than the loss of their patrimony.  Moreover, there will always be pretexts for seizing property; and someone who begins to live rapaciously will always find pretexts for taking the property of others. On the other hand) reasons or pretexts for taking life are rarer and more fleeting. "
"Mach_119.txt.content"," Hovever, when a ruler is with his army, and commands a large force, he must not worry about being considered harsh, because armies are never kept united and prepared for military action unless their leader is thought to be harsh. Among the remarkable things recounted about Hannibal is that, although he had a very large army, composed of men from many countries, and fighting in foreign lands, there never arose any dissension, either among themselves or against their leader, whether things were going well or badly. This could be accounted for only by his inhuman cruelty which, together with his many good qualities, made him always respected and greatly feared by his troops. And if he had not been so cruel, his other qualities would not have been sufficient to achieve that effect. Thoughtless writers admire this achievement of his, yet condemn the main reason for it.  That his other qualities would not have sufficed is proved by what "
"Mach_12.txt.content","therefore be reassured, and will be afraid of causing trouble, for fear that they will be dispossessed, like the others. I conclude that these colonies are not expensive, are more loyal, and harm fewer people; and those that are harmed cannot injure you because, as I said, they are scattered and poor.  It should be observed here that men should either be caressed or crushed; because they can avenge slight injuries, but not those that are very severe. Hence, any injury done to a man must be such that there is no need to fear his revenge.  However, if military forces are sent instead of colonists, this is much more expensive, because all the revenue of the region will be consumed for its security. The outcome is that the territory gained results in loss to him; and it is much more injurious, because it harms the whole of that region when his troops move round the country. Everyone suffers "
"Mach_120.txt.content","happened to Scipio, considered a most remarkable man not only in his own times but in all others) whose armies rebelled against him in Spain. The only reason for this was that he was over-indulgent, and permitted his soldiers more freedom than was consistent with maintaining proper military discipline. Fabius Maximus rebuked him for this in the senate, and called him a corrupter of the Roman army. And when Locri was ravaged by one of Scipio's legates, the inhabitants were not avenged by him, and the legate was not punished for his arrogance, all because Scipio was too easy-going. Indeed, a speaker in the senate who wished to excuse him said that there were many men Who were better at not committing misdeeds themselves than punishing the misdeeds of others. This character of his would eventually have tarnished his fame and glory, if he had continued his military command unchecked; but since he was controlled by the senate, this "
"Mach_121.txt.content","harmful quality was not only concealed but contributed to his glory.  Returning to the matter of being feared and loved) then, I conclude that whether men hear affection depends on themselves, but whether they are afraid will depend on what the ruler does. A wise ruler should rely on what is under his own control, not on what is under the control of others; he should contrive only to avoid incurring hatred, as I have said.  XVIII: How rulers should keep their promises  Everyone knows how praiseworthy it is for a ruler to keep his promises, and live uprightly and not by trickery. Nevertheless, experience shows that in our times the rulers who have done great things are those who have set little store by keeping their word, being skilful rather in cunningly deceiving men; they have got the better of those who have relied on being trustworthy. "
"Mach_122.txt.content"," You should know, then, that there are two ways of contending: one by using laws, the other, force. The first is appropriate for men, the second for animals; but because the former is often ineffective, one must have recourse to the latter. Therefore, a ruler must know well how to imitate beasts as well as employing properly human means. This policy was taught to rulers allegorically by ancient writers: they tell how Achilles and many other ancient rulers were entrusted to Chiron the centaur, to be raised carefully by him. Having a mentor who was half-beast and half-man signifies that a ruler needs to use both natures, and that one without the other is not effective.  Since a ruler, then, must know how to act like a beast, he should imitate both the fox and the lion, for the lion is liable to be trapped, whereas the fox cannot ward off wolves. One needs, then, to be a fox to "
"Mach_123.txt.content","recognise traps, and a lion to frighten away wolves. Those who rely merely upon a lion's strength do not understand matters.  Therefore, a prudent ruler cannot keep his word, nor should he, when such fidelity would damage him, and when the reasons that made him promise are no longer relevant. This advice would not be sound if all men were upright; but because they are treacherous and would not keep their promises to you, you should not consider yourself bound to keep your promises to them.  Moreover, plausible reasons can always be found for such failure to keep promises. One could give countless modern examples of this, and show how many peace treaties and promises have been rendered null and void by the faithlessness of rulers; and those best able to imitate the fox have succeeded best. But foxiness should be well concealed: one must be a great feigner and dissembler. And men are so naive, and so "
"Mach_124.txt.content","much dominated by immediate needs, that a skilful deceiver always finds plenty of people who will let themselves be deceived.  I must mention one recent case: Alexander VI was concerned only with deceiving men, and he always found them gullible. No man ever affirmed anything more forcefully or with stronger oaths but kept his word less. Nevertheless, his deceptions were always effective, because he well understood the naivety of men.  A ruler, then, need not actually possess all the above-mentioned qualities, but he must certainly seem to. Indeed, I shall be so bold as to say that having and always cultivating them is harmful, whereas seeming to have them is useful; for instance, to seem merciful, trustworthy, humane, upright and devout, and also to be so. But if it becomes necessary to refrain, you must be prepared to act in the opposite way, and be capable of doing it. And it must be understood that a ruler, and especially a new ruler, cannot always act in ways that are considered good because, in order to maintain his power, he is often forced to act treacherously, ruthlessly or inhumanely, and disregard the precepts of religion. Hence, he must be prepared to vary his conduct as the winds of fortune and changing circumstances constrain him and, as I said before, not deviate from right conduct if possible, but be capable of entering upon the path of wrongdoing when this becomes necessary. "
"Mach_125.txt.content"," A ruler, then, should be very careful that everything he says is replete with the five above-named qualities: to those who see and hear him, he should seem to be exceptionally merciful, trustworthy, upright, humane and devout. And it is most necessary of all to seem devout. In these matters, most men judge more by their eyes than by their hands. For everyone is capable of seeing you, but few can touch you. Everyone can see what you appear to be, whereas few have direct experience of what you really are; and those few will not dare to challenge the popular view, sustained as it is by the majesty of the ruler's position. With regard to all human actions, and especially those of rulers, who cannot be called to account, men pay attention to the outcome. If a ruler, then, contrives to conquer, and to preserve the state, the means "
"Mach_126.txt.content","will always be judged to be honourable and be praised by everyone. For the common people are impressed by appearances and results. Everywhere the common people are the vast majority, and the few are isolated when the majority and the government are at one. One present- day ruler, whom it is well to leave unnamed, is always preaching peace and trust, although he is really very hostile to both; and if he had practised them he would have lost either reputation or power several times over.  XIX: How contempt and hatred should be avoided  Since I have already discussed the most important of the qualities previously mentioned, I want to discuss the others briefly under this general heading: that a ruler, as has already been partly explained, should avoid anything that will make him either hated or despised. If he does avoid this he will have done what he should, and none of his other "
"Mach_127.txt.content","censurable faults  will involve him in any danger.  What will make him hated, above all else, as I said, is being rapacious and seizing the property or womenfolk of his subjects: he must avoid doing these things. If the vast majority of men are not deprived of their property and honour they will live contentedly, and one will have to deal only with the ambition of a few men, which can easily be restrained in various ways.  What will make him despised is being considered inconstant, frivolous, effeminate, pusillanimous and irresolute: a ruler must avoid contempt as if it were a reef. He should contrive that his actions should display grandeur, courage, seriousness and strength, and his decisions about the private disputes of his subjects should be irrevocable. He should maintain this reputation, so that no one should think of lying to him or scheming to trick him. "
"Mach_128.txt.content"," A ruler who succeeds in creating such an image of himself will enjoy a fine reputation; and it will be difficult to plot against or to attack him (provided that he is known to be very able, and greatly respected and feared by his subjects). For rulers should have two main worries: one is internal, and concerns his subjects; the other is external, and concerns foreign powers. Against the latter threat, good troops and reliable allies are an effective defence; and possessing good armies always results in having allies who are reliable. If external relations are solidly based, internal affairs will give no trouble unless they have already been disturbed by conspiracy. Even if there are external threats, provided the ruler lives and arranges his affairs as I have recommended, and is not faint-hearted, he will always be able to repel any attacks, just as Nabis the Spartan did, as I mentioned earlier. "
"Mach_129.txt.content"," But with regard to one's subjects, if there is no external threat, one's only fear must be that they may be plotting secretly. A ruler will effectively protect himself from this danger if he avoids incurring hatred and contempt, and keeps the people satisfied with him. It is essential to do this, as I said at length earlier. One of the best safeguards that a ruler has against plots is not being hated by the people. For plotters always believe that killing a ruler will satisfy the people. But if plotters think that the people will be angry, they will be most reluctant to undertake a conspiracy, because it always involves countless difficulties and dangers for them. There have been many conspiracies, but history has shown that few have succeeded. For a conspirator cannot act alone; yet he cannot seek help except from those whom he believes to be disaffected. But as soon as you have revealed "
"Mach_13.txt.content","this nuisance, and becomes hostile to the ruler. And they are dangerous enemies because, although defeated, they remain in their own homes. From every point of view, then, this military solution is misguided, whereas establishing colonies is extremely effective.  Again, as I have said, anyone who rules a foreign country should take the initiative in becoming a protector of the neighbouring minor powers and contrive to weaken those who are powerful within the country itself. He should also take precautions against the possibility that some foreign ruler as powerful as himself may seek to invade the country when circumstances are favourable. Such invaders are always helped by malcontents within the country, who are moved either by their own overweening ambition or by fear, as happened in Greece, where the Aetolians were responsible for the invasion by the Romans. And in every country that the Romans attacked, some of the inhabitants "
"Mach_130.txt.content","your plan to a malcontent, you enable him to become contented, because obviously he can now expect to be amply rewarded. If he sees that there is certain gain to be had in this way, and only many dangers and uncertain gain from joining the plot, he must either be an exceptional friend or an implacable enemy of the ruler, if he fails to give you away. In short, for plotters there are only fears of discovery or betrayal, and the dreadful prospect of punishment; but the ruler has the prestige attaching to his office, together with the laws and resources of government at his disposal, as well as help from allies, all of which will help him to survive. It follows that, if popular goodwill is added to all these other advantages, only an exceedingly rash man would dare to conspire against him. Plotters normally have grounds for being afraid before the crime is carried out; but here what has to be feared as well is that afterwards, when the deed has been done, the people will be hostile and there will be no hope of being given refuge by them. "
"Mach_131.txt.content"," Countless examples could be given on this subject; but I shall limit myself to one, which occurred in our fathers' time. Messer Annibale Bentivoglio, grandfather of the present messer Annibale, who was ruler of Bologna, was conspired against and killed by the Canneschi family. His only son was messer Giovanni, who was a babe in arms. Immediately after this killing, the people rose up and slaughtered all the Canneschi. The reason for this was the popular goodwill towards the Bentivoglio at that time, which was very great. After Annibale's death, no member of the family was left in Bologna' who could govern that state. When it was heard from Florence that one of the Bentivoglio family (until then believed to be a blacksmith's son) was living there, the Bolognese came to Florence to find him and entrusted the government of that city to him; and he governed it until Giovanni was old "
"Mach_132.txt.content","enough to rule.  I conclude, then, that rulers should worry little about being plotted against if their subjects are well disposed towards them, but if their subjects are hostile and hate them, they should be afraid of everything and everyone. Well-ordered states and wise rulers have always been very careful not to exasperate the nobles and also to satisfy the people and keep them contented; this is one of the most important things for a ruler to do.  France is one of the best-ordered and best-governed modern kingdoms; and in that country there are countless good institutions, on which the liberty and security of the king is based. The most important of these is the parlement, which possesses great authority. For the man who reformed that kingdom was well aware of the ambition and arrogance of the nobles, and thought that they needed a bit in their mouths to restrain them. On the other hand, since he knew that the "
"Mach_133.txt.content","people hated the nobles because they were afraid of them, he wanted to protect the people. He did not want this restraint to be a special duty of the king, in order not to make him hated by the nobles because he favoured the people, and not to make him hated by the people because he favoured the nobles. Consequently, he set up another body to restrain the nobles and favour the people, without the king having to incur any hostility. There could have been no more prudent measure or better institution than this, or anything that has strengthened more the monarchy and the kingdom itself. Another important lesson can be learned from this: rulers should leave unpleasant tasks to others, but themselves do those things that increase their popularity. Again, I would emphasise that a ruler should respect the nobles, but not act in a way that makes the people hate him. "
"Mach_134.txt.content"," It will perhaps seem to many people that, if the lives, careers and deaths of some of the Roman emperors are examined, they will provide evidence against the views I have expressed. For some emperors always lived admirable lives and displayed greatness of spirit, yet either lost power or were killed by their soldiers or courtiers, who plotted against them. I want to reply to these objections, then, consider the characters of some emperors and show the reasons why they failed (which are not inconsistent with what I have maintained). I also want to emphasise those things that are important for anyone who studies the deeds done in those times.  I want to limit my survey to the emperors who ruled from Marcus the philosopher until Maximinus: namely, Marcus, his son Commodus, Pertinax, Julianus, Severus, his son Antoninus Caracalla, Macrinus, Heliogabalus, Alexander and Maximinus. The first point that should "
"Mach_135.txt.content","be made is that, whereas in other principalities only the ambition of the nobles and the insolence of the people had to be reckoned with, the Roman emperors were confronted by a third problem: they had to deal with the· cruelty and rapacity of the soldiers. This was such a great problem that it caused the downfall of many emperors. For it was hard to satisfy both the soldiers and the people: the reason was that the people liked a peaceful life, and consequently wanted to have moderate rulers, whereas the soldiers wanted warlike rulers, who were arrogant, cruel and rapacious. The soldiers wanted the people to be treated harshly by rulers, so that they could have double pay and give vent to their own rapacity and cruelty.  The outcome was that those emperors who (either through natural deficiencies or lack of experience) did not acquire sufficient prestige to be able to restrain both the soldiers and the people always failed. And most of the emperors (especially those who came to the throne as new "
"Mach_136.txt.content","men), when they realised how difficult it was to satisfy these two conflicting tendencies, tried to satisfy the soldiers and worried little about the people being harmed.  They were forced to follow this policy. Since rulers cannot avoid being hated in some quarters, the first thing they should do is to try not to be hated by everyone; and if this cannot be achieved, to strive assiduously to avoid the hatred of the groups that are most powerful.  Consequently, the emperors who stood specially in need of support (because they were new rulers) favoured the soldiers rather than the people. However, whether this profited them or not depended on whether they were capable of keeping the respect of the soldiers.  Marcus, Pertinax and Alexander, who all lived moderately, who loved justice and shunned cruelty, who were all humane and benevolent, came (apart from Marcus) to a bad end. Only Marcus lived and "
"Mach_137.txt.content","died honoured by all, because he became emperor by hereditary right, and did not owe his power either to the soldiers or to the people. Then, because he had many fine qualities, which made him greatly respected, throughout his reign he was able to keep both the soldiers and the people under control, and he always avoided being hated or despised.  But Pertinax was made emperor against the will of the soldiers who, being used to doing as they pleased under Commodus, could not bear to live properly, as Pertinax wanted them to do. Thus he became hated and, since he was despised as well (because he was old), he was slain soon after the start of his reign.  It should be remarked at this point that good deeds as well as bad may incur hatred. As I said earlier, a ruler who wants to maintain his power is often forced to act immorally. For if a group (whether it is the people or the soldiers or the nobles) whose support you consider "
"Mach_138.txt.content","necessary for maintaining your power is corrupt, you are forced to indulge its proclivities in order to satisfy it. In such circumstances, good deeds are inimical to you.  But let us come to Alexander, whose rectitude was so notable that he was praised for many things. One of them was the fact that, during the fourteen years that he held power, he never had anyone executed without a triaL Nevertheless, because he was considered weak, and a man who allowed himself to be controlled by his mother, he came to be despised, the army plotted against him and he was killed.  Let us now consider, by contrast, the characters of Commodus, Severus} Antoninus Caracalla and Maximinus: they were all exceedingly cruel and rapacious. In order to satisfy the soldiers, they did not hesitate to commit every kind of injury against the people; and all of them, except Severus, came to a bad end. "
"Mach_139.txt.content"," Severus possessed so much ability that he was able to keep the soldiers friendly, and rule successfully to the end, even though he oppressed the people. For his outstanding qualities made him so remarkable in the eyes of the soldiers and the people that the latter were astonished and awestruck, while the former were respectful and satisfied.  For a new ruler, the deeds of this man were very impressive, so I want to show briefly how well he was able to imitate the fox and the lion, which I said earlier was necessary for a ruler to do. Severus was well aware of the indolence of the Emperor Julianus, and he persuaded the army he commanded in Slavonia that it would be a good idea to march on Rome, and avenge the death of Pertinax, who had been killed by his praetorian guard. Using this pretext, without revealing that he wanted "
"Mach_14.txt.content","aided their invasion. What usually happens is that, as soon as a strong invader attacks a country, all the less powerful men rally to him, because they are enviously hostile to the ruler who has held sway over them. The invader has no trouble in winning over these less powerful men, since they will all be disposed to support the new power he has acquired. He needs only to be careful that they do not acquire too much military power and influence. And using his own forces, and with their consent, he can easily put down those who are powerful, thus gaining complete control of that country. A ruler who does not act in this way will soon lose what he has gained and, even while he does hold it, he will be beset by countless difficulties and troubles.  The Romans followed these policies very well in the countries they "
