"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
2007,8,30,4,852,855,1100,1112,"UA",59,"N674UA",308,317,291,-12,-3,"SFO","KOA",2367,4,13,0,"",0,0,0,0,0,0
2007,7,30,1,1012,850,1609,1459,"UA",134,"N666UA",237,249,214,70,82,"SFO","ORD",1846,12,11,0,"",0,15,0,0,0,55
2007,6,27,3,1414,1416,NA,2242,"UA",186,"N443UA",NA,326,NA,NA,-2,"SFO","PHL",2521,0,31,0,"",1,0,0,0,0,0
2005,1,24,1,1604,1608,1646,1646,"OO",6220,"N299SW",42,38,28,0,-4,"SFO","MOD",78,0,14,0,"",0,0,0,0,0,0
2007,10,31,3,1131,1137,1644,1702,"UA",374,"N466UA",193,205,177,-18,-6,"SFO","AUS",1504,5,11,0,"",0,0,0,0,0,0
2007,11,19,1,1604,1501,1734,1620,"UA",89,"N837UA",90,79,57,74,63,"SFO","LAX",337,11,22,0,"",0,0,0,11,0,63
2007,4,7,6,1936,1915,2130,2115,"AS",295,"N309AS",114,120,95,15,21,"SFO","SEA",679,8,11,0,"",0,15,0,0,0,0
2008,2,15,5,22,30,552,558,"CO",1743,"N18220",210,208,196,-6,-8,"SFO","IAH",1635,6,8,0,"",0,NA,NA,NA,NA,NA
2008,10,9,4,1436,1440,2246,2254,"UA",292,"N530UA",310,314,271,-8,-4,"SFO","MCO",2445,3,36,0,"",0,NA,NA,NA,NA,NA
2007,9,14,5,1254,1250,1603,1538,"UA",548,"N422UA",129,108,87,25,4,"SFO","SLC",599,9,33,0,"",0,0,0,21,0,4
2005,11,3,4,1106,1110,1310,1308,"OO",6240,"N221SW",124,118,106,2,-4,"SFO","RDM",462,4,14,0,"",0,0,0,0,0,0
2008,2,16,6,613,620,950,950,"F9",650,"N948FR",157,150,126,0,-7,"SFO","DEN",967,18,13,0,"",0,NA,NA,NA,NA,NA
2005,9,8,4,NA,840,NA,918,"OO",6210,"0",NA,38,NA,NA,NA,"SFO","MOD",78,0,0,1,"C",0,0,0,0,0,0
2007,3,6,2,1808,1620,3,2220,"UA",150,"N581UA",235,240,214,103,108,"SFO","ORD",1846,7,14,0,"",0,80,0,0,0,23
2005,4,8,5,1701,1650,1824,1816,"UA",721,"N588UA",83,86,63,8,11,"SFO","SAN",447,2,18,0,"",0,0,0,0,0,0
2006,5,25,4,1306,1313,1415,1405,"OO",5756,"N250YV",69,52,35,10,-7,"SFO","CIC",153,2,32,0,"",0,0,0,0,0,0
2007,5,15,2,1302,1208,1901,1803,"CO",1716,"N37263",239,235,213,58,54,"SFO","IAH",1635,7,19,0,"",0,0,0,4,0,54
2005,10,22,6,1241,1102,1426,1259,"OO",6240,"N295SW",105,117,91,87,99,"SFO","RDM",462,4,10,0,"",0,87,0,0,0,0
2007,11,21,3,2243,2220,647,636,"UA",94,"N454UA",304,316,269,11,23,"SFO","EWR",2565,8,27,0,"",0,0,0,0,0,0
2008,12,14,7,1635,1525,2150,2045,"AA",566,"N4XKAA",195,200,166,65,70,"SFO","DFW",1464,12,17,0,"",0,0,0,6,0,59
2006,10,5,4,1820,1825,9,23,"UA",152,"N810UA",229,238,215,-14,-5,"SFO","ORD",1846,3,11,0,"",0,0,0,0,0,0
2006,12,20,3,848,844,1736,1709,"UA",96,"N569UA",348,325,318,27,4,"SFO","EWR",2565,10,20,0,"",0,0,0,27,0,0
2008,12,31,3,1554,1445,1709,1605,"WN",2157,"N200WN",75,80,58,64,69,"SFO","LAX",337,6,11,0,"",0,6,0,0,0,58
2008,8,15,5,1039,918,NA,1800,"UA",8,"N532UA",NA,342,NA,NA,81,"SFO","JFK",2586,NA,22,0,"",1,NA,NA,NA,NA,NA
2005,7,3,7,620,625,932,955,"F9",650,"N902FR",132,150,114,-23,-5,"SFO","DEN",967,8,10,0,"",0,0,0,0,0,0
2007,10,15,1,1433,1440,1610,1610,"XE",7774,"N14179",97,90,63,0,-7,"SFO","LAX",337,14,20,0,"",0,0,0,0,0,0
2007,10,26,5,758,804,900,859,"OO",6336,"N773SK",62,55,31,1,-6,"SFO","RNO",192,5,26,0,"",0,0,0,0,0,0
2007,6,3,7,1045,1046,1152,1158,"OO",6332,"N936SW",67,72,44,-6,-1,"SFO","SBA",262,4,19,0,"",0,0,0,0,0,0
2005,11,10,4,2012,2021,2135,2145,"UA",179,"N566UA",83,84,64,-10,-9,"SFO","SNA",372,5,14,0,"",0,0,0,0,0,0
2007,3,12,1,751,714,904,833,"OO",6193,"N220SW",73,79,55,31,37,"SFO","BFL",238,5,13,0,"",0,31,0,0,0,0
2005,6,15,3,1441,1445,1633,1641,"UA",238,"N364UA",112,116,89,-8,-4,"SFO","SEA",679,7,16,0,"",0,0,0,0,0,0
2006,9,12,2,1234,1212,1846,1801,"CO",1596,"N24212",252,229,207,45,22,"SFO","IAH",1635,4,41,0,"",0,22,0,23,0,0
2006,6,28,3,752,754,1612,1554,"UA",950,"N116UA",320,300,279,18,-2,"SFO","IAD",2419,11,30,0,"",0,0,0,18,0,0
2006,3,19,7,1046,1038,1141,1134,"OO",6463,"N963SW",55,56,38,7,8,"SFO","RNO",192,3,14,0,"",0,0,0,0,0,0
2006,12,26,2,1926,1650,2047,1805,"OO",6191,"N235SW",81,75,58,162,156,"SFO","ACV",250,3,20,0,"",0,162,0,0,0,0
2008,4,2,3,756,800,916,930,"WN",1842,"N746SW",80,90,70,-14,-4,"SFO","SAN",447,2,8,0,"",0,NA,NA,NA,NA,NA
2005,2,20,7,837,845,1445,1458,"UA",138,"N664UA",248,253,209,-13,-8,"SFO","ORD",1846,7,32,0,"",0,0,0,0,0,0
2007,11,23,5,1348,1350,1459,1508,"OO",5550,"N288SW",71,78,56,-9,-2,"SFO","SBA",262,3,12,0,"",0,0,0,0,0,0
2007,6,12,2,2302,2305,616,618,"FL",159,"N276AT",254,253,237,-2,-3,"SFO","IND",1944,9,8,0,"",0,0,0,0,0,0
2006,5,17,3,739,745,1612,1608,"CO",1049,"N17139",333,323,311,4,-6,"SFO","EWR",2565,11,11,0,"",0,0,0,0,0,0
2008,4,29,2,2111,2120,2312,2318,"AS",313,"N647AS",121,118,94,-6,-9,"SFO","SEA",679,4,23,0,"",0,NA,NA,NA,NA,NA
2007,11,5,1,2226,2230,706,645,"AA",18,"N382AA",340,315,294,21,-4,"SFO","JFK",2586,12,34,0,"",0,0,0,21,0,0
2007,5,26,6,1332,1335,2212,2212,"UA",10,"N510UA",340,337,314,0,-3,"SFO","JFK",2586,5,21,0,"",0,0,0,0,0,0
2005,5,12,4,2022,2025,2117,2122,"OO",6208,"N250YV",55,57,38,-5,-3,"SFO","FAT",158,3,14,0,"",0,0,0,0,0,0
2008,3,1,6,1403,1407,2129,2140,"DL",650,"N607DL",266,273,237,-11,-4,"SFO","ATL",2139,7,22,0,"",0,NA,NA,NA,NA,NA
2007,5,8,2,727,735,839,858,"OO",6330,"N767SK",72,83,55,-19,-8,"SFO","ONT",363,3,14,0,"",0,0,0,0,0,0
2005,12,31,6,1627,1505,2022,1835,"NW",85,"N592NW",355,330,330,107,82,"SFO","HNL",2398,9,16,0,"",0,0,0,25,0,82
2006,6,2,5,1954,2000,2137,2130,"UA",931,"N815UA",103,90,56,7,-6,"SFO","LAX",337,11,36,0,"",0,0,0,0,0,0
2008,7,1,2,600,600,1336,1351,"DL",46,"N121DE",276,291,251,-15,0,"SFO","ATL",2139,6,19,0,"",0,NA,NA,NA,NA,NA
2005,1,9,7,825,630,1044,905,"OO",6381,"N928SW",79,95,62,99,115,"SFO","BOI",522,3,14,0,"",0,99,0,0,0,0
2005,7,17,7,801,803,912,911,"OO",6376,"N703SK",71,68,52,1,-2,"SFO","BUR",326,4,15,0,"",0,0,0,0,0,0
2008,6,23,1,1630,1525,118,2359,"AA",20,"N320AA",348,334,323,79,65,"SFO","JFK",2586,9,16,0,"",0,0,0,14,0,65
2005,9,13,2,842,849,1031,1032,"UA",704,"N369UA",109,103,88,-1,-7,"SFO","PDX",550,5,16,0,"",0,0,0,0,0,0
2008,5,11,7,1336,1255,1455,1400,"OO",5482,"N215SW",79,65,48,55,41,"SFO","RDD",199,5,26,0,"",0,41,0,14,0,0
2006,3,16,4,1214,1217,1802,1806,"AA",1852,"N4XCAA",228,229,196,-4,-3,"SFO","STL",1736,7,25,0,"",0,0,0,0,0,0
2007,7,18,3,654,700,1309,1301,"NW",270,"N331NW",255,241,222,8,-6,"SFO","MEM",1807,15,18,0,"",0,0,0,0,0,0
2005,2,3,4,2023,2026,2222,2226,"AS",567,"N778AS",119,120,99,-4,-3,"SFO","SEA",679,8,12,0,"",0,0,0,0,0,0
2005,11,5,6,1145,1117,1218,1159,"OO",6466,"N946SW",33,42,18,19,28,"SFO","SMF",86,3,12,0,"",0,19,0,0,0,0
2008,10,30,4,2259,2235,718,703,"UA",188,"N456UA",319,328,300,15,24,"SFO","PHL",2521,5,14,0,"",0,15,0,0,0,0
2006,5,24,3,1058,1100,1858,1925,"US",564,"N164UW",300,325,289,-27,-2,"SFO","PHL",2521,3,8,0,"",0,0,0,0,0,0
2008,5,11,7,818,820,937,945,"WN",2190,"N433LV",79,85,67,-8,-2,"SFO","SAN",447,2,10,0,"",0,NA,NA,NA,NA,NA
2007,4,29,7,1459,1506,1630,1635,"AS",354,"N774AS",91,89,69,-5,-7,"SFO","PSP",421,5,17,0,"",0,0,0,0,0,0
2006,1,30,1,620,625,1215,1218,"CO",416,"N14628",235,233,203,-3,-5,"SFO","IAH",1635,16,16,0,"",0,0,0,0,0,0
2005,4,13,3,1156,1200,2001,2008,"UA",294,"N829UA",305,308,288,-7,-4,"SFO","BWI",2457,2,15,0,"",0,0,0,0,0,0
2008,11,2,7,1107,915,1446,1247,"UA",35,"N666UA",339,332,296,119,112,"SFO","OGG",2338,5,38,0,"",0,112,0,7,0,0
2008,4,29,2,1944,1951,2033,2033,"OO",5564,"N284YV",49,42,24,0,-7,"SFO","SMF",86,6,19,0,"",0,NA,NA,NA,NA,NA
2006,3,12,7,651,700,830,825,"US",609,"N308AW",99,85,65,5,-9,"SFO","LAS",414,8,26,0,"",0,0,0,0,0,0
2005,3,25,5,2230,2240,2326,2336,"OO",6207,"N295SW",56,56,36,-10,-10,"SFO","FAT",158,4,16,0,"",0,0,0,0,0,0
2007,12,22,6,812,756,1205,1130,"UA",1216,"N551UA",173,154,125,35,16,"SFO","DEN",967,24,24,0,"",0,16,0,19,0,0
2007,2,11,7,827,800,1656,1615,"AA",24,"N391AA",329,315,314,41,27,"SFO","JFK",2586,5,10,0,"",0,27,0,14,0,0
2008,7,22,2,14,15,544,539,"NW",362,"N548US",210,204,185,5,-1,"SFO","MSP",1589,9,16,0,"",0,NA,NA,NA,NA,NA
2008,9,3,3,1618,1625,1821,1843,"UA",77,"N671UA",303,318,285,-22,-7,"SFO","HNL",2398,4,14,0,"",0,NA,NA,NA,NA,NA
2008,10,31,5,1620,1620,1800,1800,"UA",1550,"N495UA",100,100,66,0,0,"SFO","LAS",414,6,28,0,"",0,NA,NA,NA,NA,NA
2007,7,11,3,1256,1253,2037,2040,"DL",650,"N122DL",281,287,252,-3,3,"SFO","ATL",2139,9,20,0,"",0,0,0,0,0,0
2006,8,6,7,1549,1540,1725,1720,"OO",6394,"N767SK",96,100,73,5,9,"SFO","PDX",550,5,18,0,"",0,0,0,0,0,0
2008,7,7,1,1626,1623,1821,1821,"UA",1176,"N334UA",115,118,94,0,3,"SFO","SEA",679,6,15,0,"",0,NA,NA,NA,NA,NA
2008,11,5,3,931,856,1755,1721,"UA",184,"N826UA",324,325,294,34,35,"SFO","PHL",2521,12,18,0,"",0,8,0,0,0,26
2008,5,23,5,1028,1021,1208,1153,"OO",5572,"N271YV",100,92,84,15,7,"SFO","MFR",329,3,13,0,"",0,7,0,8,0,0
2006,10,22,7,1815,1600,145,2358,"UA",220,"N816UA",270,298,251,107,135,"SFO","IAD",2419,4,15,0,"",0,10,0,0,0,97
2008,1,25,5,1705,1605,1757,1704,"OO",5567,"N565SW",52,59,37,53,60,"SFO","FAT",158,3,12,0,"",0,53,0,0,0,0
2008,2,22,5,935,841,1048,1000,"OO",5571,"N578SW",73,79,59,48,54,"SFO","SBA",262,4,10,0,"",0,48,0,0,0,0
2005,2,9,3,1827,1831,2007,2012,"UA",558,"N522UA",100,101,76,-5,-4,"SFO","PDX",550,4,20,0,"",0,0,0,0,0,0
2008,5,30,5,1920,1925,2048,2054,"UA",931,"N806UA",88,89,58,-6,-5,"SFO","LAX",337,12,18,0,"",0,NA,NA,NA,NA,NA
2008,1,11,5,925,925,1429,1450,"AA",1994,"N390AA",184,205,156,-21,0,"SFO","DFW",1464,12,16,0,"",0,NA,NA,NA,NA,NA
2005,3,31,4,1127,1130,1954,1953,"UA",28,"N510UA",327,323,297,1,-3,"SFO","JFK",2586,12,18,0,"",0,0,0,0,0,0
2006,11,26,7,1547,1550,1652,1702,"UA",1167,"N379UA",65,72,50,-10,-3,"SFO","BUR",326,3,12,0,"",0,0,0,0,0,0
2007,6,29,5,1453,1416,2301,2242,"UA",186,"N805UA",308,326,285,19,37,"SFO","PHL",2521,4,19,0,"",0,0,0,0,0,19
2007,5,3,4,1133,1130,2019,2000,"AA",16,"N329AA",346,330,300,19,3,"SFO","JFK",2586,14,32,0,"",0,0,0,19,0,0
2007,8,1,3,1305,1225,1451,1355,"XE",7764,"N22909",106,90,59,56,40,"SFO","LAX",337,22,25,0,"",0,0,0,16,0,40
2005,10,17,1,2152,2200,613,619,"AA",18,"N323AA",321,319,294,-6,-8,"SFO","JFK",2586,12,15,0,"",0,0,0,0,0,0
2005,2,6,7,1346,1345,1950,1954,"UA",843,"N562UA",244,249,215,-4,1,"SFO","ORD",1846,15,14,0,"",0,0,0,0,0,0
2007,11,20,2,2349,2220,754,640,"CO",1829,"N57869",305,320,278,74,89,"SFO","EWR",2565,14,13,0,"",0,6,0,0,0,68
2008,3,3,1,659,700,1529,1509,"US",651,"N621AW",330,309,297,20,-1,"SFO","PHL",2521,6,27,0,"",0,0,0,20,0,0
2008,4,19,6,2126,2118,2320,2319,"AS",203,"N592AS",114,121,94,1,8,"SFO","SEA",679,4,16,0,"",0,NA,NA,NA,NA,NA
2005,11,15,2,1154,1050,1840,1705,"UA",830,"N507UA",286,255,214,95,64,"SFO","ORD",1846,5,67,0,"",0,0,0,95,0,0
2007,12,23,7,751,753,914,911,"XE",7754,"N12569",83,78,53,3,-2,"SFO","LAX",337,15,15,0,"",0,0,0,0,0,0
2008,8,8,5,1314,1153,1432,1313,"OO",5478,"N576SW",78,80,53,79,81,"SFO","ACV",250,2,23,0,"",0,79,0,0,0,0
2007,9,21,5,1603,1550,1735,1718,"UA",751,"N521UA",92,88,73,17,13,"SFO","SNA",372,5,14,0,"",0,13,0,4,0,0
2006,7,8,6,1040,1042,1857,1857,"UA",862,"N468UA",317,315,292,0,-2,"SFO","IAD",2419,6,19,0,"",0,0,0,0,0,0
2008,7,22,2,1220,1220,NA,2106,"B6",644,"N598JB",NA,355,NA,NA,0,"SFO","JFK",2586,NA,35,0,"",1,NA,NA,NA,NA,NA
2006,5,29,1,1253,1300,1536,1544,"DL",1505,"N375DA",103,104,78,-8,-7,"SFO","SLC",599,6,19,0,"",0,0,0,0,0,0
2007,7,20,5,740,740,907,907,"AS",510,"N558AS",87,87,55,0,0,"SFO","LAX",337,13,19,0,"",0,0,0,0,0,0
2005,5,28,6,1032,1034,1151,1200,"UA",886,"N343UA",79,86,56,-9,-2,"SFO","LAX",337,8,15,0,"",0,0,0,0,0,0
2008,3,25,2,1347,1352,1514,1526,"OO",6408,"N772SK",87,94,67,-12,-5,"SFO","EUG",451,3,17,0,"",0,NA,NA,NA,NA,NA
2008,2,9,6,836,840,1705,1714,"UA",90,"N816UA",329,334,310,-9,-4,"SFO","EWR",2565,4,15,0,"",0,NA,NA,NA,NA,NA
2007,8,31,5,1530,1530,1703,1654,"UA",1163,"N905UA",93,84,58,9,0,"SFO","LAX",337,19,16,0,"",0,0,0,0,0,0
2005,2,17,4,1251,1255,1539,1543,"DL",1142,"N381DA",108,108,83,-4,-4,"SFO","SLC",599,6,19,0,"",0,0,0,0,0,0
2008,1,9,3,913,916,1006,959,"OO",5655,"N562SW",53,43,28,7,-3,"SFO","SMF",86,4,21,0,"",0,NA,NA,NA,NA,NA
2005,1,31,1,1100,1107,1228,1236,"OO",6262,"N294SW",88,89,72,-8,-7,"SFO","MFR",329,3,13,0,"",0,0,0,0,0,0
2008,11,23,7,1343,1329,2150,2146,"UA",186,"N804UA",307,317,283,4,14,"SFO","PHL",2521,4,20,0,"",0,NA,NA,NA,NA,NA
2008,4,21,1,1708,1713,1750,1755,"OO",5492,"N270YV",42,42,28,-5,-5,"SFO","MRY",77,3,11,0,"",0,NA,NA,NA,NA,NA
2006,2,11,6,1340,1330,1418,1409,"OO",6218,"N584SW",38,39,21,9,10,"SFO","MOD",78,4,13,0,"",0,0,0,0,0,0
2006,12,22,5,1720,1725,2101,2054,"UA",55,"N551UA",341,329,312,7,-5,"SFO","KOA",2367,7,22,0,"",0,0,0,0,0,0
2005,7,7,4,1052,1050,1135,1134,"OO",6466,"N941SW",43,44,19,1,2,"SFO","SMF",86,3,21,0,"",0,0,0,0,0,0
2008,2,20,3,1213,1220,1803,1756,"NW",360,"N320US",230,216,190,7,-7,"SFO","MSP",1589,18,22,0,"",0,NA,NA,NA,NA,NA
2008,8,22,5,1821,1822,1914,1924,"OO",5672,"N233SW",53,62,41,-10,-1,"SFO","FAT",158,2,10,0,"",0,NA,NA,NA,NA,NA
2007,7,12,4,1324,1300,2131,2140,"CO",549,"N76502",307,340,285,-9,24,"SFO","EWR",2565,11,11,0,"",0,0,0,0,0,0
2008,4,11,5,1221,1152,2057,2035,"UA",88,"N808UA",336,343,310,22,29,"SFO","EWR",2565,6,20,0,"",0,0,0,22,0,0
2007,4,1,7,2009,2016,2145,2143,"UA",1468,"N458UA",96,87,65,2,-7,"SFO","LAS",414,5,26,0,"",0,0,0,0,0,0
2008,7,16,3,1903,1910,27,30,"AA",566,"N4XMAA",204,200,178,-3,-7,"SFO","DFW",1464,4,22,0,"",0,NA,NA,NA,NA,NA
2005,5,10,2,2013,2015,2116,2117,"OO",6480,"N962SW",63,62,41,-1,-2,"SFO","ACV",250,4,18,0,"",0,0,0,0,0,0
2006,5,4,4,2228,2230,602,611,"US",85,"N769UW",274,281,254,-9,-2,"SFO","PIT",2254,5,15,0,"",0,0,0,0,0,0
2008,8,21,4,916,918,1109,1121,"OO",5726,"N291SW",113,123,95,-12,-2,"SFO","RDM",462,3,15,0,"",0,NA,NA,NA,NA,NA
2007,3,12,1,1523,1450,1604,1530,"OO",6216,"N583SW",41,40,24,34,33,"SFO","MRY",77,4,13,0,"",0,34,0,0,0,0
2007,11,19,1,NA,1930,NA,2056,"UA",807,"000000",NA,86,NA,NA,NA,"SFO","LAX",337,0,0,1,"A",0,0,0,0,0,0
2008,10,13,1,1121,1128,1847,1855,"DL",32,"N3746H",266,267,244,-8,-7,"SFO","CVG",2036,8,14,0,"",0,NA,NA,NA,NA,NA
2008,3,31,1,1933,1930,2052,2100,"WN",1745,"N460WN",79,90,65,-8,3,"SFO","SAN",447,2,12,0,"",0,NA,NA,NA,NA,NA
2007,12,14,5,1517,1516,1647,1639,"AS",378,"N706AS",90,83,66,8,1,"SFO","PSP",421,6,18,0,"",0,0,0,0,0,0
2008,6,25,3,711,705,1537,1536,"CO",349,"N33203",326,331,306,1,6,"SFO","EWR",2565,11,9,0,"",0,NA,NA,NA,NA,NA
2005,7,28,4,2219,2024,13,2220,"UA",1438,"N448UA",114,116,88,113,115,"SFO","PHX",651,7,19,0,"",0,0,0,0,0,113
2005,5,14,6,810,815,1629,1642,"CO",349,"N37287",319,327,297,-13,-5,"SFO","EWR",2565,7,15,0,"",0,0,0,0,0,0
2008,9,21,7,1919,1924,2044,2056,"UA",931,"N333UA",85,92,56,-12,-5,"SFO","LAX",337,13,16,0,"",0,NA,NA,NA,NA,NA
2008,6,22,7,2252,2255,2339,2341,"OO",5491,"N284YV",47,46,22,-2,-3,"SFO","MRY",77,4,21,0,"",0,NA,NA,NA,NA,NA
2005,9,14,3,1315,1305,1348,1343,"OO",6216,"N284YV",33,38,23,5,10,"SFO","MRY",77,3,7,0,"",0,0,0,0,0,0
2007,3,6,2,844,845,1207,1210,"HA",11,"N582HA",203,205,184,-3,-1,"SFO","HNL",2398,3,16,0,"",0,0,0,0,0,0
2007,4,10,2,1218,1200,1400,1354,"US",490,"N816AW",102,114,81,6,18,"SFO","PHX",651,6,15,0,"",0,0,0,0,0,0
2007,10,30,2,1856,1900,2015,2035,"WN",571,"N707SA",79,95,64,-20,-4,"SFO","LAS",414,5,10,0,"",0,0,0,0,0,0
2008,6,4,3,1618,1625,10,30,"UA",220,"N456UA",292,305,270,-20,-7,"SFO","IAD",2419,5,17,0,"",0,NA,NA,NA,NA,NA
2006,5,1,1,1919,1925,2027,2030,"UA",1187,"N340UA",68,65,52,-3,-6,"SFO","BUR",326,2,14,0,"",0,0,0,0,0,0
2008,1,9,3,1938,1930,2014,2011,"OO",5422,"N584SW",36,41,21,3,8,"SFO","SMF",86,2,13,0,"",0,NA,NA,NA,NA,NA
2006,9,29,5,1558,1550,1727,1721,"UA",1588,"N492UA",89,91,66,6,8,"SFO","LAS",414,4,19,0,"",0,0,0,0,0,0
2006,1,26,4,1359,1345,1441,1423,"OO",6218,"N561SW",42,38,20,18,14,"SFO","MOD",78,3,19,0,"",0,18,0,0,0,0
2006,3,19,7,1220,1220,2039,2042,"UA",8,"N555UA",319,322,286,-3,0,"SFO","JFK",2586,8,25,0,"",0,0,0,0,0,0
2006,2,3,5,1853,1830,2201,2151,"UA",482,"N559UA",128,141,111,10,23,"SFO","DEN",967,4,13,0,"",0,0,0,0,0,0
2006,8,19,6,1508,1510,1621,1633,"UA",1165,"N934UA",73,83,55,-12,-2,"SFO","LAX",337,3,15,0,"",0,0,0,0,0,0
2007,7,12,4,848,855,1000,1011,"OO",6456,"N969SW",72,76,55,-11,-7,"SFO","PMD",316,4,13,0,"",0,0,0,0,0,0
2006,10,9,1,1228,1230,1350,1356,"US",572,"N816AW",82,86,62,-6,-2,"SFO","LAS",414,5,15,0,"",0,0,0,0,0,0
2006,12,5,2,703,700,1448,1442,"US",1086,"N176UW",285,282,263,6,3,"SFO","CLT",2296,4,18,0,"",0,0,0,0,0,0
2006,10,4,3,1627,1549,1805,1730,"OO",6394,"N970SW",98,101,78,35,38,"SFO","PDX",550,5,15,0,"",0,35,0,0,0,0
2006,3,22,3,2216,2210,639,641,"UA",180,"N588UA",323,331,306,-2,6,"SFO","BOS",2704,3,14,0,"",0,0,0,0,0,0
2007,7,29,7,1100,1100,2213,1925,"US",702,"N715UW",493,325,355,168,0,"SFO","PHL",2521,78,60,0,"",0,0,0,168,0,0
2008,12,16,2,2034,2018,2344,2339,"F9",664,"N806FR",130,141,113,5,16,"SFO","DEN",967,9,8,0,"",0,NA,NA,NA,NA,NA
2005,3,31,4,1042,1045,1224,1242,"OO",6241,"N292UX",102,117,92,-18,-3,"SFO","RDM",462,1,9,0,"",0,0,0,0,0,0
2005,10,17,1,2143,2155,510,532,"FL",52,"N272AT",267,277,250,-22,-12,"SFO","ATL",2139,7,10,0,"",0,0,0,0,0,0
2007,12,22,6,907,855,1036,1025,"US",67,"N822AW",89,90,64,11,12,"SFO","LAS",414,5,20,0,"",0,0,0,0,0,0
2005,8,25,4,1854,1900,2120,2121,"UA",65,"N546UA",326,321,306,-1,-6,"SFO","HNL",2398,5,15,0,"",0,0,0,0,0,0
